episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-844.5104424357414,-105.56378173828125,0,5,8.43325115195228,200
2,-1431.008745253086,-178.8759765625,0,6,9.23791393483961,200
3,-4186.61571508646,-523.3272094726562,0,7,9.512482491861688,200
4,-872.6452822983265,-109.0805892944336,0,4,9.392190579896447,200
5,-3716.9940392673016,-464.62384033203125,0,6,8.810333474067388,200
6,-493.5577098429203,-61.69484329223633,0,4,7.885772926581767,200
7,-1975.7159359455109,-246.96435546875,0,6,9.237511883064208,200
8,-1501.512429177761,-187.68923950195312,0,5,9.664978701457937,200
9,-483.06488317251205,-60.38319396972656,0,4,7.851553681739924,200
10,-5772.2840330302715,-721.53564453125,0,8,9.212938958042315,166
11,-1475.1053048670292,-184.38772583007812,0,7,8.818644218890732,200
12,-4446.272552073002,-555.7841796875,0,7,8.556028699409069,200
13,-9550.059230685234,-1193.7572021484375,0,7,8.727133878626878,200
14,-1328.2097296714783,-166.0259246826172,0,7,8.797796622556607,200
15,-769.55503693223,-96.1947021484375,0,6,7.256380431834735,200
16,-955.1239659786224,-119.390380859375,0,6,6.532689705005325,200
17,-2205.180608153343,-275.6475830078125,0,7,7.736012810295698,200
18,-7455.557363152504,-931.9444580078125,0,6,7.170526146061825,200
19,-6642.497942388058,-830.3118896484375,0,7,7.654064815110367,200
20,-5766.625931978226,-720.8280029296875,0,7,7.9546809959332325,200
21,-598.5869411230087,-74.8233642578125,0,8,8.5220214901131,48
22,-4521.103730678558,-565.1385498046875,0,6,8.150614217632905,200
23,-745.6222073435783,-93.20272064208984,0,5,6.797819839554043,200
24,-775.0750594139099,-96.88452911376953,0,6,7.616591375707323,200
25,-6618.347399413586,-827.293212890625,0,7,8.029283254939498,200
26,-5186.25593316555,-648.2817993164062,0,7,8.685697549012236,200
27,-6206.15317428112,-775.7689819335938,0,7,8.344215115836604,200
28,-5142.972105324268,-642.8715209960938,0,5,8.366784219625242,200
29,-8011.185725867748,-1001.398193359375,0,6,8.003009513205651,200
30,-1315.722159564495,-164.4654541015625,0,6,7.87783053575799,200
31,-1230.2859146595001,-153.7857208251953,0,6,8.198486872280633,200
32,-790.9454828500748,-98.86811065673828,0,7,6.990903374237318,200
33,-321.2409926056862,-40.155155181884766,0,5,6.582917511421643,200
34,-481.05779707431793,-60.132225036621094,0,8,7.3072831704798755,84
35,-252.5616524219513,-31.570234298706055,0,5,6.286289300302785,200
36,-445.8107600212097,-55.726375579833984,0,5,7.065526633242539,200
37,-323.7142942547798,-40.46438217163086,0,5,6.048725040144623,200
38,-427.0646085739136,-53.383056640625,0,6,6.300732660255179,200
39,-7442.536592006683,-930.3170166015625,0,6,6.197015377012404,200
40,-3609.9650456905365,-451.2463684082031,0,7,7.208501370664246,200
41,-868.429034113884,-108.55377960205078,0,7,7.135227506987523,200
42,-3544.598207950592,-443.07501220703125,0,7,7.084371178704668,200
43,-725.9157499074936,-90.73933410644531,0,7,6.550760083865493,200
44,-6083.485764503479,-760.4356079101562,0,7,6.947815793345817,200
45,-5829.363375902176,-728.670654296875,0,7,7.084048967482222,200
46,-575.2421246170998,-71.90535736083984,0,6,6.757828718676068,200
47,-847.8060832619667,-105.97584533691406,0,7,7.232850557860747,200
48,-543.6907846331596,-67.96151733398438,0,6,6.639156753172239,200
49,-1544.8494733572006,-193.106201171875,0,6,6.897269502672582,200
50,-570.682997405529,-71.33523559570312,0,5,7.014398599372415,200
51,-2268.893858909607,-283.61175537109375,0,6,8.205891053853627,200
52,-1958.8274071216583,-244.85342407226562,0,7,7.287503305037626,200
53,-1940.4057933688164,-242.55059814453125,0,7,7.455460415423939,200
54,-1958.8872946500778,-244.86097717285156,0,7,7.3335676432421,200
55,-836.9013329148293,-104.61274719238281,0,6,7.728922835950077,200
56,-812.7817529439926,-101.5977783203125,0,6,7.716506576413577,200
57,-534.7591716051102,-66.84490966796875,0,6,6.7966446216414225,200
58,-867.2698475122452,-108.40888977050781,0,6,7.4519862495426885,200
59,-757.8369826078415,-94.72964477539062,0,7,7.03467925658227,200
60,-3295.376157641411,-411.92236328125,0,7,7.251980603858979,200
61,-960.3129960298538,-120.03904724121094,0,7,7.12188170905492,200
62,-5873.193581223488,-734.14892578125,0,7,7.093293435151354,200
63,-1093.6672127246857,-136.7082977294922,0,7,7.7871362485059965,200
64,-1097.9224712252617,-137.24041748046875,0,7,7.461685822259595,200
65,-1164.0762857198715,-145.509521484375,0,6,7.314050164055565,200
66,-2386.816909313202,-298.3526306152344,1,5,5.474875749084969,200
67,-453.7643103003502,-56.72050857543945,0,8,7.315928341776086,94
68,-340.01144099235535,-42.501426696777344,0,8,6.9143355429584314,87
69,-400.5136374235153,-50.06419372558594,0,8,7.221454387727952,94
70,-1629.7890236377716,-203.72348022460938,0,7,7.4036133172128995,200
71,-1090.7801587581635,-136.34747314453125,0,7,6.295473791054061,200
72,-3022.086099624634,-377.7608642578125,0,7,7.181329656302239,200
73,-3126.909745335579,-390.8633117675781,0,6,7.798845511032873,200
74,-2714.7847118377686,-339.34814453125,0,7,7.005143393269234,200
75,-3372.0268660783768,-421.5032958984375,0,6,7.5290613603303775,200
76,-3260.415285587311,-407.552001953125,0,8,7.547612041093518,150
77,-803.2581850290298,-100.40728759765625,0,6,7.277718541895133,200
78,-480.8628259897232,-60.10785675048828,0,8,8.058919169332475,56
79,-513.4175710678101,-64.17716217041016,0,8,8.091180874948893,56
80,-3560.855712890625,-445.10723876953125,0,6,7.6379513097728005,200
81,-418.88393688201904,-52.36052703857422,0,4,7.39000760581844,200
82,-26.59614324569702,-3.3245344161987305,1,5,5.838827106411702,200
83,-3883.8716074228287,-485.4841613769531,0,7,7.815669943776849,200
84,-2986.0857824087143,-373.260986328125,0,6,6.664321545688771,200
85,-2949.1659548282623,-368.645751953125,0,7,7.655993123009011,200
86,-3577.9916486740112,-447.2488708496094,0,7,6.876942522321016,200
87,-1013.2315599918365,-126.65373229980469,0,7,7.362883472825871,200
88,-757.711749792099,-94.71395111083984,0,6,7.501501071629788,200
89,-662.4070117473602,-82.8009033203125,0,8,7.177107327952772,162
90,-731.9607318639755,-91.49510955810547,0,7,6.954091751171593,200
91,-579.8852127790451,-72.48571014404297,0,5,7.145203693094874,200
92,-384.57772582769394,-48.072235107421875,0,8,6.952540331865567,109
93,-622.754410982132,-77.84428405761719,0,6,7.018581547074367,200
94,-675.7382745742798,-84.46728515625,0,7,6.720746695313501,200
95,-799.3904330730438,-99.92390441894531,0,5,7.228917413937693,200
96,-659.9105172157288,-82.48875427246094,0,6,6.962938838041608,200
97,-382.46368086338043,-47.80805206298828,0,5,6.764748778497001,200
98,-688.2826411724091,-86.03529357910156,0,7,6.744278618506651,200
99,-907.6531055569649,-113.45668029785156,0,7,7.048625500081481,200
100,-3536.1909399032593,-442.023681640625,0,7,7.1926728897712024,200
101,-972.6797137856483,-121.58493041992188,0,6,7.106623432492343,200
102,-595.1610535979271,-74.3951187133789,0,6,6.9774173406243,200
103,-5740.222654104233,-717.528076171875,0,6,6.474135715555747,200
104,-3054.6331318616867,-381.8291015625,0,6,6.654438387545326,200
105,-2907.051424741745,-363.381103515625,0,6,5.674217926856027,200
106,-5860.2897181510925,-732.5365600585938,0,6,6.499431509395728,200
107,-5756.359027385712,-719.5452880859375,0,6,6.734785557706202,200
108,-8399.862926006317,-1049.9842529296875,0,5,6.43623220127191,200
109,-11421.498538017273,-1427.6873779296875,0,6,6.7214527150740455,200
110,-6405.967717170715,-800.74560546875,0,7,6.88905387731244,200
111,-7595.84833407402,-949.4806518554688,0,7,6.020658250044679,200
112,-5832.691800117493,-729.0865478515625,0,6,6.181188097442968,200
113,-11168.208562374115,-1396.0262451171875,0,6,6.68131723223782,200
114,-1064.1414523124695,-133.0176544189453,0,8,6.696729576546488,66
115,-3063.8624053001404,-382.9827575683594,0,6,5.952659637489123,200
116,-3140.0583024024963,-392.50787353515625,0,7,6.136501625470492,200
117,-2870.820182323456,-358.852294921875,0,6,6.053420053299352,200
118,-642.5107318758965,-80.31382751464844,0,8,6.312771270568089,92
119,-326.7243046760559,-40.84054183959961,0,8,6.965974939750395,50
120,-608.5684529542923,-76.07106018066406,1,7,6.116885562202223,99
121,-667.7159866094589,-83.46459197998047,1,6,6.464374073772846,200
122,-1092.841532111168,-136.60545349121094,0,7,6.157960792874096,200
123,-289.7890987098217,-36.223609924316406,0,6,5.805308617557616,200
124,-718.4866654574871,-89.81082153320312,0,5,5.479587080306554,200
125,-239.89693021774292,-29.987180709838867,0,5,6.220669525988533,200
126,-1058.8090190887451,-132.35107421875,0,6,6.988424820902403,200
127,-337.01362109184265,-42.12675094604492,0,5,6.517317298711971,200
128,-2031.259509563446,-253.9073944091797,0,8,7.103306830137049,76
129,-729.2328668832779,-91.15406799316406,0,7,6.638585733589137,200
130,-522.0709422826767,-65.2589111328125,0,6,6.750683898627923,200
131,-460.7618586421013,-57.59530258178711,0,6,6.530007534396665,200
132,-557.0593856573105,-69.63240814208984,0,6,6.75509761956483,200
133,-859.033917427063,-107.37918090820312,0,7,7.371285402673193,200
134,-175.38481149077415,-21.92312240600586,0,4,6.706482746593371,200
135,-3167.216152727604,-395.90191650390625,0,4,7.732705473196807,200
136,-463.6495514512062,-57.956138610839844,0,6,6.5344228959799775,200
137,-331.65954649448395,-41.4573974609375,0,5,6.610697379853956,200
138,-581.1390383243561,-72.64237976074219,0,6,6.746245191332917,200
139,-598.7316557168961,-74.8414306640625,0,5,6.798749914171137,200
140,-4899.198637247086,-612.4000244140625,0,7,7.22320260967601,200
141,-394.2055714726448,-49.27568435668945,0,5,6.520992716632088,200
142,-2414.6987854242325,-301.83721923828125,0,7,7.641648811342689,200
143,-2511.1461196541786,-313.89324951171875,0,7,7.382156190488864,200
144,-896.9714441895485,-112.12161254882812,0,6,7.410890979663916,200
145,-775.9270082116127,-96.99095153808594,0,6,6.797818791999151,200
146,-380.1825761795044,-47.52289581298828,0,5,6.364085282363656,200
147,-659.1481544971466,-82.3935546875,0,6,6.369336072533199,200
148,-2918.936373412609,-364.8665771484375,0,7,6.398089588477658,200
149,-3410.3880248069763,-426.29876708984375,0,8,6.437538583600984,181
150,-4106.715938568115,-513.3394165039062,0,6,6.386769701562184,200
151,-415.5205183029175,-51.940155029296875,0,5,6.42050288824181,200
152,-611.3817107081413,-76.42265319824219,0,7,6.318401928631507,200
153,-3244.244650244713,-405.53045654296875,0,7,6.4720918411064705,200
154,-2356.880646944046,-294.6099548339844,0,7,6.741230841277972,200
155,-788.4479024410248,-98.55599975585938,0,7,6.724853336083796,200
156,-5315.3407330513,-664.4178466796875,0,7,6.774918347046312,200
157,-2399.213466346264,-299.90191650390625,0,7,6.612586461124491,200
158,-3219.958157300949,-402.49493408203125,0,6,6.529809797029571,200
159,-478.92005681991577,-59.86512756347656,0,6,6.312718825960587,200
160,-673.0289871096611,-84.12861633300781,0,7,6.840378423809852,200
161,-3233.870307326317,-404.2334289550781,0,7,6.704267959333366,200
162,-723.9794380068779,-90.49729919433594,0,7,6.804669661769808,200
163,-741.2503265142441,-92.65635681152344,0,7,6.78116742802534,200
164,-1160.6473895311356,-145.08071899414062,0,7,6.843711377566498,200
165,-1980.584268450737,-247.5730438232422,0,7,6.657088638721534,200
166,-732.3486161231995,-91.5435562133789,0,8,7.062237133879811,121
167,-741.4618077278137,-92.68257904052734,0,6,6.20099496418274,200
168,-1639.4716565608978,-204.93377685546875,0,6,5.811623055323656,200
169,-1862.805495917797,-232.85040283203125,0,2,6.04766785715962,200
170,-1793.0949122309685,-224.13687133789062,0,6,6.4297751500525395,200
171,-2010.4826719760895,-251.31024169921875,0,7,6.59752276094914,200
172,-749.6989837288857,-93.71218872070312,0,4,6.015140815627902,200
173,-47.76520353555679,-5.9706878662109375,0,5,5.604689244045783,200
174,-29.346338868141174,-3.668367385864258,0,5,5.524424941325515,200
175,-44.58525136113167,-5.573163986206055,0,5,5.531127958323696,200
176,-252.9652263522148,-31.620689392089844,0,5,6.219398912440769,200
177,-782.6143045425415,-97.82670593261719,0,7,6.907462791362855,200
178,-778.3116064071655,-97.2889404296875,0,8,7.356860726190773,107
179,-2590.0092433691025,-323.75146484375,0,6,6.203470383912734,200
180,-477.0108233690262,-59.62635040283203,0,8,7.508377863574664,80
181,-604.8785593509674,-75.60987854003906,0,6,6.9245735633723156,200
182,-634.9063047170639,-79.3633041381836,0,8,6.941485717959184,136
183,-2092.2466465234756,-261.53070068359375,0,7,6.794546193908509,200
184,-3004.347017288208,-375.5435791015625,0,6,6.4514848389054285,200
185,-3179.395495533943,-397.42486572265625,0,6,6.501878186036783,200
186,-3196.113781452179,-399.51416015625,0,7,6.4704403878968675,200
187,-2002.3548127412796,-250.2943572998047,0,8,6.533558898254599,80
188,-3357.1309099197388,-419.641845703125,0,7,6.2366336288267785,200
189,-3283.6948372125626,-410.4620666503906,0,6,6.1119372057787,200
190,-1030.0718874931335,-128.75900268554688,0,7,5.972900140450921,200
191,-5560.910666465759,-695.1143798828125,0,6,5.716660540166642,200
192,-589.0508458614349,-73.63133239746094,0,7,6.5324285787953915,200
193,-3113.754809141159,-389.2188720703125,0,6,6.3238221838880975,200
194,-5890.1362771987915,-736.2672119140625,0,7,6.8393504263479645,200
195,-3075.5379757881165,-384.44256591796875,0,6,6.268520005705352,200
196,-3473.0117597579956,-434.126953125,0,6,6.312336457571824,200
197,-1013.0567088127136,-126.63219451904297,0,7,6.6353430755528855,200
198,-629.2633817195892,-78.65785217285156,0,7,6.576288224065314,200
199,-2963.1686601638794,-370.3960876464844,0,6,6.040282003776531,200
200,-2872.7664358615875,-359.09539794921875,0,6,5.972263912974174,200
201,-3105.8455805778503,-388.2308349609375,0,6,6.428821320460378,200
202,-2625.3190767765045,-328.16522216796875,0,6,5.477982188930319,200
203,-5104.436572551727,-638.0549926757812,0,5,6.916171199054819,200
204,-1414.0244063138962,-176.75299072265625,0,5,6.402738237865078,200
205,-981.8380671739578,-122.729736328125,0,8,5.769155229148705,108
206,-760.2859961986542,-95.03555297851562,0,6,5.886411425392986,200
207,-2024.5711753368378,-253.07125854492188,0,5,5.532341818531669,200
208,-2993.205253481865,-374.1511535644531,0,6,6.73427385952052,200
209,-2132.901798248291,-266.61285400390625,0,5,6.055197147457148,200
210,-953.0162740945816,-119.1270523071289,0,6,6.642316635034764,200
211,-4138.049507141113,-517.2562255859375,0,6,5.896631826504155,200
212,-152.45687121152878,-19.057117462158203,0,5,6.167372023918729,200
213,-240.92817306518555,-30.11598777770996,0,6,5.903334957967859,200
214,-1760.5712583065033,-220.0712432861328,0,7,6.460301387819269,200
215,-7612.530621051788,-951.5658569335938,0,7,6.212052972743063,200
216,-256.97568476200104,-32.12214660644531,1,6,5.713277415552849,200
217,-10339.533410429955,-1292.4407958984375,0,7,6.628079906020535,200
218,-142.58710283041,-17.823375701904297,0,5,5.935773110936798,200
219,-419.896421790123,-52.487083435058594,0,6,6.331705862831024,200
220,-5348.273768186569,-668.5343017578125,0,6,6.799528710958051,200
221,-2095.2163137197495,-261.90191650390625,0,5,6.673797298776133,200
222,-467.99854081869125,-58.49980926513672,0,5,6.859369347457656,200
223,-664.1233440637589,-83.01543426513672,0,7,6.790287774101817,200
224,-289.55768156051636,-36.19476318359375,0,5,6.623634724629337,200
225,-260.77348804473877,-32.596717834472656,0,8,5.531528933844026,148
226,-3040.7427349090576,-380.0929260253906,0,6,6.66014910074855,200
227,-3440.746042370796,-430.0935363769531,0,7,7.1407324237088865,200
228,-609.949527323246,-76.2436752319336,0,6,6.902828997262735,200
229,-3213.698251605034,-401.7122497558594,0,6,6.672956464334957,200
230,-5443.945544183254,-680.4930419921875,0,7,6.727366998185161,200
231,-6622.268140792847,-827.7833862304688,0,6,6.4530342265333935,200
232,-4404.279459476471,-550.5350341796875,0,8,6.7842666847768935,129
233,-2586.1619275808334,-323.2701416015625,0,5,5.956770587171584,200
234,-794.6918269395828,-99.3365249633789,0,7,6.565795537248039,200
235,-1660.5272703170776,-207.56588745117188,0,7,6.707629496189712,200
236,-2814.5158271193504,-351.81451416015625,0,6,6.7396852658630895,200
237,-776.3462234735489,-97.04327392578125,0,6,7.071774206603442,200
238,-447.8183925151825,-55.97726058959961,0,8,6.825026966926775,78
239,-729.7996461391449,-91.22486114501953,0,7,6.825075219335958,200
240,-426.5581201314926,-53.31971740722656,0,8,5.359796208523062,173
241,60.52808019518852,7.566051483154297,0,5,5.206594887874632,200
242,-376.47840279340744,-47.05982971191406,0,8,5.60260380519046,167
243,-388.2119775414467,-48.52650451660156,0,7,5.216014659486339,200
244,-4931.320720076561,-616.4151611328125,0,5,6.449827978686573,200
245,-495.7064733505249,-61.96335983276367,0,8,5.549314218595168,186
246,-2686.844418287277,-335.8558654785156,0,6,6.066469991923022,200
247,-1972.9897758364677,-246.62396240234375,0,6,5.957851294924934,200
248,-599.3277241587639,-74.91593933105469,0,5,5.7899817527045,200
249,-474.66713458299637,-59.33344650268555,0,6,6.267552767040774,200
250,-820.709415435791,-102.58876037597656,0,4,5.727990331703916,200
251,-221.19896709918976,-27.64992904663086,0,5,6.138971602138254,200
252,-510.8501033782959,-63.856258392333984,0,6,6.169730077949213,200
253,-455.27177476882935,-56.90901565551758,0,6,6.124708963627038,200
254,-1127.055750966072,-140.8819580078125,0,5,6.2962388201273,200
255,-8036.068125605583,-1004.5078735351562,0,5,6.492540073353877,200
256,-2110.6061483621597,-263.8255615234375,0,6,6.174664305563785,200
257,-925.8877594470978,-115.7359390258789,0,7,5.746144010350527,200
258,-871.0413476228714,-108.88018798828125,0,6,7.090374447415411,200
259,-2670.420861721039,-333.8023986816406,0,6,6.06263467568097,200
260,-385.88878858089447,-48.23611831665039,0,8,6.456439132554596,138
261,-8680.994605779648,-1085.1241455078125,0,7,6.139883364790363,200
262,-2513.417645096779,-314.177001953125,0,7,6.934117378353352,200
263,-2904.2693338394165,-363.0338134765625,0,5,6.164225990959226,200
264,-2885.9130828380585,-360.7391357421875,0,6,5.39222765325323,200
265,-2409.7543976306915,-301.21942138671875,0,6,6.3549601486312355,200
266,-2163.3027958869934,-270.4126281738281,0,6,6.25668342529601,200
267,-704.385705113411,-88.04837036132812,0,5,6.053015073936589,200
268,-2853.108024597168,-356.63861083984375,0,6,6.3549958323596645,200
269,-924.8525713682175,-115.60652160644531,0,8,5.645867179199679,166
270,-1712.635668516159,-214.079345703125,0,4,6.387550556417981,200
271,-1931.147227883339,-241.39346313476562,0,7,5.792166859701567,200
272,-549.9392656683922,-68.7423095703125,0,5,5.4309285905218045,200
273,-116.9303970336914,-14.616317749023438,0,4,6.32827174623717,200
274,-435.4184050858021,-54.427303314208984,0,4,6.150128495351565,200
275,-361.37828624248505,-45.17230987548828,0,6,6.312645041667814,200
276,-218.88846611976624,-27.361093521118164,0,5,6.268109645423224,200
277,-140.62990871071815,-17.57869529724121,0,6,5.627560006124373,200
278,-1177.022583425045,-147.12789916992188,0,7,5.953566211794672,200
279,108.44403564929962,13.555490493774414,0,4,5.695459166388847,200
280,-834.7272176742554,-104.34089660644531,1,5,5.697029824501606,200
281,-352.291018307209,-44.03628158569336,0,6,6.172253054553726,200
282,-149.12753611803055,-18.640989303588867,0,6,5.455599726580934,200
283,-596.5405730009079,-74.56754302978516,0,6,6.982783179724733,200
284,-193.2851304411888,-24.160612106323242,0,5,5.982073958355065,200
285,40.74591389298439,5.093293190002441,0,6,5.130619811922612,200
286,66.99190419912338,8.373987197875977,0,3,6.02417792140232,200
287,-284.2865549325943,-35.535858154296875,0,5,6.0469860523727865,200
288,-155.5380442738533,-19.442197799682617,0,6,5.678639716523851,200
289,-1955.22686368227,-244.40345764160156,0,5,5.252346825541938,200
290,-1961.0564559102058,-245.1321258544922,0,8,6.322582429278105,139
291,-409.56214714050293,-51.19529342651367,0,8,6.565595284942789,83
292,-346.20783841609955,-43.27595520019531,0,7,5.519401708865095,200
293,-2120.8430219888687,-265.1052551269531,0,7,5.905492848209995,200
