episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-1174.4630141854286,-234.89285278320312,0,5,8.722092636200738,198
2,-714.7783342599869,-142.95582580566406,0,4,8.614599180009009,200
3,-3170.913225322962,-634.18310546875,0,3,8.638326934889328,200
4,-986.7557035684586,-197.3511505126953,0,4,8.996310017408202,200
5,-2897.7006443738937,-579.5399169921875,0,4,10.227709399186942,200
6,-796.9461577534676,-159.38922119140625,0,4,9.16361186781038,200
7,-745.9706890136003,-149.1941680908203,0,3,9.73573358495556,200
8,-2789.408758342266,-557.882080078125,0,2,8.714240423826036,200
9,-392.3279958665371,-78.46553039550781,0,2,7.578546952796384,200
10,-726.7448377013206,-145.34873962402344,0,3,9.055421930173942,200
11,-1954.102028310299,-390.82049560546875,0,3,9.305627605262796,200
12,-3658.361876010895,-731.6712646484375,0,4,9.336731224044035,200
13,-2110.5794753730297,-422.1156311035156,0,4,8.909808834334353,200
14,-893.510291159153,-178.70228576660156,0,2,9.834558586956524,200
15,-976.5769172012806,-195.31552124023438,0,2,8.666544840035547,200
16,-794.7102402448654,-158.94227600097656,0,3,8.77470327665792,200
17,-793.7496886253357,-158.74969482421875,0,3,8.818202918688234,200
18,-976.7205442786217,-195.34390258789062,0,3,8.658358584316096,200
19,-769.2439469099045,-153.8485870361328,0,4,8.289741046525652,200
20,-3649.0500588417053,-729.8106689453125,0,4,8.49721821554597,200
21,-820.7438432574272,-164.14923095703125,0,3,8.837110188930346,200
22,-778.504452586174,-155.7012481689453,0,4,8.35448178974121,200
23,-784.602666079998,-156.92037963867188,0,4,8.3865325814854,200
24,-777.4055742323399,-155.48109436035156,0,4,8.331151698364668,200
25,-743.1960150003433,-148.63922119140625,0,4,8.33129261298421,200
26,-684.5189737677574,-136.9038848876953,0,5,7.301333125394541,195
27,-825.1917462348938,-165.03831481933594,0,4,8.550006444291277,200
28,-836.7170511484146,-167.34352111816406,0,4,8.610912862297026,200
29,-616.1274564862251,-123.22554016113281,0,5,8.182212342667786,125
30,-966.651718556881,-193.33029174804688,0,4,9.12465377942743,200
31,-448.41086304187775,-89.68216705322266,0,5,7.443689904435262,121
32,-456.61835753917694,-91.32355499267578,0,4,6.632280566625641,200
33,-1786.0745262503624,-357.2149353027344,0,4,6.087137803682843,200
34,-425.39022344350815,-85.07804107666016,0,5,7.117909900085114,118
35,-528.7593554407358,-105.75189208984375,0,4,7.07241352147268,200
36,-3045.6106377243996,-609.1229248046875,0,3,6.85898316416106,200
37,-3000.908554315567,-600.1815185546875,0,4,6.067248195222668,200
38,12.090372920036316,2.418069839477539,0,5,6.030774441527724,72
39,-614.1488590240479,-122.82981872558594,0,5,6.234521000073803,71
40,-626.786612033844,-125.35733795166016,0,5,6.250130747410992,71
41,-119.7810007929802,-23.956222534179688,0,5,5.959078405257889,74
42,-209.61232995986938,-41.92247009277344,0,5,7.209903948490016,40
43,-3188.4098200798035,-637.6826782226562,0,4,7.3413673114876925,200
44,-514.9924613833427,-102.9985122680664,0,4,7.082167624572368,200
45,-179.75098383426666,-35.9501953125,0,5,7.087899774641665,40
46,-3042.8584775924683,-608.5716552734375,0,4,6.006394505867268,200
47,-647.1999440193176,-129.4399871826172,0,5,6.951849987850736,62
48,-506.23556089401245,-101.24711608886719,0,5,6.975085532432803,55
49,-1145.5713648796082,-229.1143035888672,0,5,6.93790364058246,56
50,-554.2283354997635,-110.8456802368164,0,5,7.046599628855239,57
51,-1184.9227257966995,-236.9844970703125,0,5,6.378301916013883,71
52,-867.6522688865662,-173.53048706054688,0,5,6.964352094277094,57
53,-475.14866304397583,-95.02972412109375,0,5,6.907789249204939,54
54,-562.3582589626312,-112.4716567993164,0,5,6.905677559246151,59
55,-660.767740726471,-132.153564453125,0,5,6.247387898117607,73
56,-103.80980718135834,-20.761966705322266,0,5,6.937581095111868,58
57,-557.1981885433197,-111.43965148925781,0,5,6.9520053634685155,58
58,-517.9180852174759,-103.5836181640625,0,5,6.900307673726672,61
59,-498.49986743927,-99.69996643066406,0,5,6.885819837537648,58
60,-486.83924078941345,-97.36785125732422,0,5,6.935036589870798,59
61,-599.9683088064194,-119.99361419677734,0,5,7.0986589061993755,64
62,-959.5724885463715,-191.91452026367188,0,5,6.46941818470529,72
63,-142.58471584320068,-28.516942977905273,0,5,6.268967147534402,72
64,-638.9691417217255,-127.7938232421875,0,5,6.487702020449797,71
65,-52.94061979651451,-10.588134765625,0,5,6.453111630194013,69
66,-747.9813549518585,-149.596435546875,0,4,7.756581538083576,200
67,-211.5112842321396,-42.30223083496094,0,4,5.62714600541604,200
68,-360.6387775838375,-72.12776947021484,0,4,6.06898347242067,200
69,-297.75503063201904,-59.55096435546875,0,4,5.622261538947383,200
70,-331.5110214948654,-66.30226135253906,0,3,6.734425847942529,200
71,-328.6482046842575,-65.7296371459961,0,3,7.234983666354275,200
72,-288.6748013794422,-57.73492431640625,0,4,6.153687946077112,200
73,-265.7103412747383,-53.1421012878418,0,3,6.702611656111901,200
74,-215.81480091810226,-43.16295623779297,0,5,6.981700986715114,87
75,-288.46227967739105,-57.6925163269043,0,3,6.862266790905423,200
76,-125.17944693565369,-25.0358829498291,0,5,6.6563578943874875,88
77,-2993.712565422058,-598.7425537109375,0,4,6.496775567290908,200
78,-60.75305253267288,-12.150614738464355,0,5,6.284609746525021,71
79,-346.5276669859886,-69.30564880371094,0,4,6.0341695131284485,200
80,-190.43389439582825,-38.086761474609375,0,5,6.504631483214669,99
81,-636.3924334049225,-127.2786865234375,0,4,6.772475066665504,200
82,-340.5012320280075,-68.10030364990234,0,4,5.263672648972376,200
83,-189.74432867765427,-37.948875427246094,0,5,6.992378319587405,77
84,-533.0830717384815,-106.6166763305664,0,3,8.175195641654927,200
85,-475.57626497745514,-95.11531066894531,0,4,7.032578800625428,200
86,-2723.4897832870483,-544.6988525390625,0,3,7.930089711622207,200
87,-491.35229229927063,-98.27046203613281,0,4,7.397696023593854,200
88,-140.48381239175797,-28.096759796142578,0,5,6.731797665166468,72
89,-467.03026670217514,-93.40616607666016,0,3,7.041686267094727,200
90,-620.5115477889776,-124.10224914550781,0,4,8.121874974642392,200
91,-434.5423814058304,-86.90849304199219,0,3,7.265895494010842,200
92,-223.29543274641037,-44.6590461730957,0,3,6.482842205029954,200
93,-256.2937394976616,-51.2587776184082,0,3,6.547829213240263,200
94,-291.52860510349274,-58.30573654174805,0,4,6.277731300127225,200
95,-1587.9378043413162,-317.587646484375,0,5,6.06806095767372,125
96,-246.0060716867447,-49.20121383666992,0,3,5.8478336362613295,200
97,-2880.5583708286285,-576.1116943359375,0,4,6.180795093220974,200
98,-271.2489672899246,-54.24968719482422,0,4,6.18757002167364,200
99,-1474.5307149887085,-294.9060974121094,0,5,6.926238806970316,189
100,-3061.86066865921,-612.372314453125,0,4,6.740038082967871,200
101,-421.4424829483032,-84.28848266601562,0,4,6.825319480169652,200
102,-138.61636555194855,-27.72328758239746,0,4,5.184456840733044,200
103,-150.63516038656235,-30.12701416015625,0,5,6.10644143180599,117
104,-172.77196168899536,-34.5543327331543,0,4,5.206638514040783,200
105,-417.73919212818146,-83.54781341552734,0,5,6.712305574152202,172
106,-3159.2823667526245,-631.8572387695312,0,4,7.181422114418767,200
107,-3159.16923558712,-631.8341064453125,0,4,7.164132812365615,200
108,-155.48947995901108,-31.0978946685791,0,5,6.853348081178927,62
109,-673.2017483711243,-134.6403045654297,0,5,6.058424030056793,74
110,-656.9856717586517,-131.39707946777344,0,5,6.21102338393556,72
111,-706.4960135221481,-141.2991485595703,0,5,6.180848766554371,75
112,-704.5730468034744,-140.91458129882812,0,5,6.237495218233436,74
113,-3026.728791952133,-605.3457641601562,0,3,6.900107377552378,200
114,-718.0334405899048,-143.60682678222656,0,4,8.140098308522495,200
115,-573.1263511180878,-114.6253433227539,0,3,7.750297118461782,200
116,-830.247565060854,-166.04971313476562,0,4,7.754255163606034,200
117,-697.3053461313248,-139.4610137939453,0,4,8.062535348579315,200
118,-112.84916996955872,-22.569839477539062,0,3,5.890498704663594,200
119,-512.7223834991455,-102.5444564819336,0,5,7.650282067868806,79
120,-3006.5937025547028,-601.3182373046875,0,4,6.483614450475654,200
121,-271.0066166073084,-54.20124435424805,0,4,5.787980825180398,200
122,-246.5515904724598,-49.31029510498047,0,5,6.281258607761357,140
123,-133.72427585721016,-26.744848251342773,0,5,6.943163712210199,60
124,-303.31915501505136,-60.66370391845703,0,4,6.297129365760034,200
125,-250.06310591101646,-50.01264572143555,0,4,5.790572641781032,200
126,-178.63940447568893,-35.72788619995117,0,4,5.596916562401759,200
127,-423.32001572847366,-84.66393280029297,0,4,6.273893659882229,200
128,-83.1329973936081,-16.62661361694336,0,3,5.363613948685645,200
129,-3417.610879421234,-683.5220947265625,0,5,6.3034493092596335,197
130,-295.5397050380707,-59.107994079589844,0,4,5.7563150602680775,200
131,15.841053903102875,3.1681504249572754,0,3,5.008289902364185,200
132,-2847.406596660614,-569.48095703125,1,4,5.682876562560197,189
133,-3041.6382200717926,-608.3275146484375,0,4,6.33944842465011,200
134,-295.31000301241875,-59.061973571777344,0,4,5.5506715101745145,200
135,-266.34241569042206,-53.268516540527344,0,4,5.92304243097633,200
136,-3206.016337633133,-641.2030029296875,0,4,6.437066617924431,200
137,-3134.5916727781296,-626.9189453125,0,4,6.274174518738957,200
138,-390.61660159379244,-78.12327575683594,0,5,5.60327114916692,141
139,-256.93663865327835,-51.387481689453125,0,4,5.822305231335708,200
140,-128.77833549678326,-25.755701065063477,0,3,5.680797756578547,200
141,-303.4786822795868,-60.69573974609375,0,4,5.828015719790488,200
142,-267.2998322248459,-53.459938049316406,0,4,5.73077335927067,200
143,-401.7753064632416,-80.3551025390625,0,4,6.924437970983891,200
144,-185.1952784061432,-37.03900909423828,0,3,5.829272137480183,200
145,-385.867800951004,-77.17356872558594,0,5,6.939095499555853,42
146,188.32210802286863,37.664371490478516,0,3,4.0150644839605105,200
147,38.152322724461555,7.630450248718262,0,5,4.61239024391172,112
148,-196.72861421108246,-39.34572219848633,0,4,5.355518403313677,200
149,23.88395081460476,4.7768096923828125,0,2,4.97181647440405,200
150,-271.95484364032745,-54.39094161987305,0,4,5.757834897927855,200
151,-172.85999393463135,-34.57195281982422,0,4,5.279384040648209,200
152,-242.0080677010119,-48.40156173706055,0,3,5.36970973870571,200
153,-356.0613685846329,-71.21223449707031,0,4,5.8231539091157885,200
154,-105.99176493287086,-21.198360443115234,0,5,6.807105116740857,53
155,-96.64590728282928,-19.329177856445312,0,5,6.77583901087893,56
156,-112.42707812786102,-22.485366821289062,0,3,5.446295611284178,200
157,-89.66544225811958,-17.933048248291016,0,3,5.390135454881401,200
158,-234.04768586158752,-46.809478759765625,0,4,5.897163599058735,200
159,-359.59260207414627,-71.9185791015625,0,4,6.38321726240636,200
160,-266.867308139801,-53.37348556518555,0,3,6.161644998993039,200
161,-378.5439112186432,-75.70881652832031,0,3,6.175121075596812,200
162,-222.70256647467613,-44.54045104980469,0,3,6.098047928885794,200
163,-546.2350630760193,-109.24698638916016,0,4,7.288737824254885,200
164,-351.34040451049805,-70.26811981201172,0,3,6.054385365008306,200
165,-243.55354404449463,-48.71068572998047,0,3,6.111470948812486,200
166,-154.9204076230526,-30.98410987854004,0,3,5.5903979578444485,200
167,-477.5711257457733,-95.5141830444336,0,4,6.9390682636942405,200
168,-2916.242516875267,-583.2479248046875,0,3,6.086840577148804,200
169,-298.69252583384514,-59.7384147644043,0,3,6.305251202052327,200
170,-3185.663808107376,-637.132568359375,0,4,7.189074914485348,200
171,-422.05191308259964,-84.41035461425781,0,4,6.347522147335115,200
172,-108.02121582627296,-21.60444450378418,1,3,6.071477952949055,200
173,-256.226576179266,-51.24528121948242,0,3,6.1853071504976835,200
174,-486.8977689743042,-97.37955474853516,0,3,6.2971148517421724,200
175,-1837.0743964910507,-367.4151611328125,0,4,5.560525731665393,200
176,-251.85405558347702,-50.370853424072266,0,3,6.1528763336434205,200
177,53.08990728855133,10.617971420288086,0,2,5.152288285490563,200
178,-84.57013165950775,-16.914072036743164,0,3,5.3466484825622285,200
179,-171.5716964006424,-34.314292907714844,0,3,5.57785763146064,200
180,-104.53182709217072,-20.906436920166016,0,3,5.176630103764704,200
181,102.05072996020317,20.41011619567871,0,2,4.73545777094457,200
182,155.93396630883217,31.186786651611328,0,3,3.7527195409070506,200
183,-138.21066956222057,-27.642114639282227,0,3,5.6254919478679035,200
184,86.22049030661583,17.244054794311523,0,2,4.9887844260062995,200
185,-261.73441165685654,-52.346885681152344,0,3,6.422366328492293,200
186,-465.08687686920166,-93.0170669555664,0,4,6.53468295506317,200
187,-355.26276184245944,-71.05252838134766,0,2,7.099490685209593,200
188,-283.68223309516907,-56.736427307128906,0,2,6.966374380078176,200
189,-132.54337525367737,-26.508686065673828,0,3,5.537696250613472,200
190,-432.0981791615486,-86.4195556640625,0,3,6.6190319784074605,200
191,-227.72724586725235,-45.54540252685547,0,3,5.935004167708746,200
192,-790.4454174637794,-158.0890350341797,0,5,7.631292170741683,62
193,-532.2869364023209,-106.4573974609375,0,4,6.76420012877348,200
194,-637.3343073129654,-127.46675109863281,0,4,7.5221209908249005,200
195,-514.3207963705063,-102.86390686035156,0,4,6.693413648424705,200
196,-228.7000792324543,-45.739898681640625,0,3,5.712068974871099,200
197,19.014225482940674,3.802838087081909,0,3,4.826245779970437,200
198,-467.87366771698,-93.57493591308594,0,4,6.41140368422945,200
199,-6.047227442264557,-1.2094268798828125,0,5,5.540367681072338,105
200,-289.2223286628723,-57.84450149536133,0,4,5.719785919660968,200
201,-390.6373336315155,-78.12751770019531,0,4,5.742975759151335,200
202,-286.53245055675507,-57.30646896362305,0,4,5.750156673480445,200
203,-284.7794580459595,-56.955833435058594,0,4,5.708749067807654,200
204,-323.04843360185623,-64.60965728759766,0,4,5.751130720363941,200
205,-547.3786020278931,-109.47587585449219,0,3,6.011966009438006,200
206,187.95156693458557,37.590362548828125,0,2,4.547291220843183,200
207,30.02231901884079,6.004504203796387,0,3,4.700225417220155,200
208,-127.95498621463776,-25.59092140197754,0,4,5.058854014383895,200
