episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-416.75356552377343,-138.91787719726562,0,0,8.413415362471628,200
2,-251.8135032095015,-83.93782806396484,0,0,8.594404083636428,200
3,-485.4610811918974,-161.82008361816406,0,2,9.533874226024968,200
4,-837.8261532969773,-279.2754821777344,0,3,6.4252220885204565,175
5,-449.1373012214899,-149.71241760253906,0,1,8.996562766251815,200
6,-550.674114331603,-183.557861328125,0,2,9.349499360601255,200
7,-172.0945134907961,-57.364837646484375,0,1,6.739492416283198,200
8,-454.870910346508,-151.62388610839844,0,2,9.158051038921583,200
9,-407.46462385356426,-135.82171630859375,0,2,8.936772409740508,200
10,-402.1868740618229,-134.0621795654297,0,1,9.389397847783869,200
11,-242.03633127361536,-80.67884063720703,0,2,6.478245218909552,200
12,-329.89981788396835,-109.96649932861328,0,2,7.105008312499156,200
13,-319.6487652659416,-106.5495834350586,0,2,7.112288060563354,200
14,5.383436679840088,1.794478416442871,0,3,6.643418763196567,42
15,-277.6956611275673,-92.56523895263672,0,2,7.179240235977372,200
16,-163.639468729496,-54.54648971557617,0,2,6.476054527515433,200
17,-72.89429497718811,-24.298110961914062,0,3,6.253972185699193,48
18,42.801653265953064,14.26721477508545,0,3,6.229663690697091,46
19,-8.456889629364014,-2.818957567214966,0,3,6.295613419746136,46
20,64.18289911746979,21.3942928314209,0,3,5.709869980834423,58
21,-2783.694532394409,-927.8972778320312,0,2,7.08346061544534,200
22,-261.3588902950287,-87.11963653564453,0,2,7.069076548057538,200
23,-175.77600944042206,-58.59197998046875,0,3,7.331020349133563,104
24,-5553.93735909462,-1851.3118896484375,0,2,8.550238168368367,200
25,-1798.8082133829594,-599.6032104492188,0,2,8.554657106699956,200
26,-524.2879028022289,-174.7626953125,0,2,6.847926092907033,200
27,-137.84729897975922,-45.94915771484375,0,1,8.14655031666598,200
28,-107.60280340909958,-35.867618560791016,0,3,6.927596379751878,100
29,-143.96753180027008,-47.989166259765625,0,3,7.580317077272795,45
30,-266.96666249632835,-88.98897552490234,0,2,7.778671163341644,200
31,7.192475914955139,2.3974993228912354,0,3,6.454600107420894,63
32,-41.76737582683563,-13.92245864868164,0,3,6.731387565841625,68
33,5.643408358097076,1.8811496496200562,0,3,6.342786834751284,73
34,25.21670401096344,8.405587196350098,0,3,6.2400168778299365,66
35,-242.07080799341202,-80.69022369384766,0,2,7.215102194965367,200
36,-148.70267128944397,-49.56752395629883,0,2,5.988488129611361,200
37,-258.1235139966011,-86.04120635986328,0,2,7.371229942378521,200
38,-217.92879003286362,-72.64301300048828,0,2,6.395251338455526,200
39,-128.17487674206495,-42.72491455078125,0,2,5.657125678574921,200
40,-92.23490811139345,-30.7449893951416,0,2,5.219788064932543,200
41,-130.4214125573635,-43.47381591796875,0,2,5.700248787267385,200
42,-150.74346244335175,-50.24774169921875,0,2,6.06196439522262,200
43,-2741.8979153633118,-913.965576171875,0,2,6.322702197031048,200
44,14.179930806159973,4.726644515991211,0,3,6.432390553060297,44
45,-2735.5876942873,-911.86279296875,0,2,6.643697329539009,200
46,-2670.304636478424,-890.10205078125,0,2,5.790797128722445,200
47,14.311262607574463,4.770421981811523,0,3,6.370753746947525,44
48,-111.28770864009857,-37.09589385986328,0,2,5.644682623361578,200
49,-127.71618539094925,-42.572025299072266,0,2,5.520478473564896,200
50,-232.47739285230637,-77.49242401123047,0,3,6.106530588234302,196
51,-39.53098475933075,-13.17699146270752,0,3,6.020367337261014,81
52,-724.2376470565796,-241.41241455078125,0,3,6.026407368259162,84
53,14.855968296527863,4.951988697052002,0,3,5.910130865678813,87
54,25.83659827709198,8.61219310760498,0,3,6.1328755674029525,62
55,-353.9973332285881,-117.99907684326172,0,3,6.686910875158904,113
56,-318.4801650047302,-106.1600570678711,0,3,6.645769403720291,109
57,-325.98127526044846,-108.66043090820312,0,3,6.728372343133915,101
58,-344.807009935379,-114.93567657470703,0,3,6.725347194998034,106
59,-13.291064620018005,-4.4303507804870605,0,3,6.357096518485553,73
60,-591.7165269851685,-197.23876953125,0,3,6.194182814775059,78
61,38.9040253162384,12.968003273010254,0,3,6.230986862513272,44
62,51.44554489850998,17.148517608642578,0,3,5.892388896599513,61
63,-2771.2413907051086,-923.7479858398438,0,2,6.996341029921434,200
64,-52.618521332740784,-17.539505004882812,0,3,6.251351457174483,44
65,-2369.0382585525513,-789.6791381835938,0,3,7.136746066869627,172
66,-110.67843818664551,-36.892704010009766,0,2,6.336517381251486,200
67,-121.44028425216675,-40.480106353759766,0,3,7.7309124261128135,34
68,-150.08894312381744,-50.0296516418457,0,2,6.350668876736106,200
69,-86.41901350021362,-28.806373596191406,0,2,5.3603725816901004,200
70,-79.51897165179253,-26.506242752075195,0,2,5.456276200370458,200
71,-160.3868328332901,-53.46223068237305,0,2,6.538200608627488,200
72,-139.8992219567299,-46.6329345703125,0,2,6.499783135891561,200
73,-108.36956131458282,-36.123252868652344,0,2,6.166209703313147,200
74,-345.8168792128563,-115.27239990234375,0,2,7.909496044192864,200
75,-223.54981136322021,-74.51656341552734,0,2,6.258390710779487,200
76,-112.2525400519371,-37.41750717163086,0,2,5.460591893578882,200
77,-129.33768928050995,-43.1126594543457,0,2,6.321207696446877,200
78,-106.40355259180069,-35.467926025390625,0,2,5.985040878207321,200
79,-91.85827589035034,-30.61942481994629,0,3,7.450378496225234,38
80,-214.24804908037186,-71.41585540771484,0,2,6.72717052173585,200
81,-349.1269708275795,-116.3755874633789,0,2,8.10335462809826,200
82,81.06450791656971,27.021512985229492,0,1,4.301856543968725,200
83,-69.38277387619019,-23.127592086791992,0,2,5.624967117235923,200
84,-329.2550100684166,-109.75147247314453,0,2,7.803259952537904,200
85,-384.1321662068367,-128.0441131591797,0,2,8.057413135473965,200
86,-228.57130378484726,-76.19050598144531,0,2,7.283297366163159,200
87,79.08370241522789,26.36122703552246,0,2,4.4018898046859585,200
88,-16.857340693473816,-5.6191086769104,0,3,6.653503704087211,46
89,-42.70164426788688,-14.233848571777344,0,2,5.2536566268367535,200
90,-5.671024441719055,-1.8903764486312866,0,1,6.2640092913313685,200
91,37.95052391290665,12.65018367767334,0,3,5.438933485840533,91
92,22.598341286182404,7.532784938812256,0,3,5.9547805329821655,62
93,23.41133815050125,7.803781509399414,0,3,5.751426403337145,77
94,18.05675321817398,6.018928527832031,0,3,5.864223661823136,73
95,152.73165311664343,50.910491943359375,0,1,4.834276334902974,200
96,-110.66632223129272,-36.888763427734375,0,1,7.085167794377174,200
97,-28.72555209696293,-9.575170516967773,0,2,5.266443849341545,200
98,-606.8550573587418,-202.285400390625,0,2,7.925620182620482,200
99,203.95315355062485,67.9843978881836,1,2,4.514234269699072,139
100,-83.13697841763496,-27.712312698364258,0,3,6.955751779794999,49
101,-76.99348872900009,-25.66447639465332,0,3,6.892187099105534,61
102,-62.82272791862488,-20.94091033935547,0,3,6.937167847538404,48
103,46.56547403335571,15.521763801574707,0,2,4.094393448251153,200
104,-104.81914688646793,-34.93966293334961,0,1,7.159074388042863,200
105,206.3236249536276,68.77457427978516,0,1,3.9607443907918523,200
106,-135.8597176373005,-45.28654479980469,0,1,7.207257936937272,200
107,86.13537925481796,28.7117919921875,0,3,4.500976532737282,129
108,32.833725258708,10.944605827331543,0,1,5.801907299110109,200
109,153.9525749757886,51.31757736206055,0,1,4.2952570802890895,200
110,-85.36550915241241,-28.455202102661133,0,2,5.0019789146769265,200
111,63.91100925207138,21.303800582885742,0,2,4.0971558455934245,200
112,47.16450506448746,15.72153091430664,0,2,4.155840145717455,200
113,37.058860182762146,12.35289478302002,0,2,5.01293955774053,200
114,82.67086333036423,27.556901931762695,0,2,4.018010211568451,200
115,62.26237607002258,20.75417137145996,0,2,4.093819351265194,200
116,57.92900604009628,19.309751510620117,0,2,4.132382825307893,200
117,-2643.213541805744,-881.07177734375,0,2,4.994464482313073,200
118,44.14079761505127,14.713622093200684,0,2,4.170378195280175,200
119,-80.15043452382088,-26.71678924560547,0,3,5.091866333047133,182
120,-81.48507504165173,-27.161684036254883,0,3,5.5484163464783975,163
121,-33.73106034100056,-11.243698120117188,0,3,5.375501855535963,141
122,373.7107951827347,124.57027435302734,1,1,3.0909687018228595,200
123,420.5683584958315,140.18946838378906,0,0,4.229376258197476,200
124,-100.1416649222374,-33.38054275512695,0,3,6.485061241518937,126
125,48.307539105415344,16.102462768554688,0,1,5.554091828882664,200
126,117.27477812767029,39.091583251953125,0,2,4.32284437041509,200
127,137.08860105276108,45.696109771728516,0,1,4.72129865207338,200
128,37.54919111728668,12.516339302062988,0,2,4.258098165765525,200
129,49.16969841718674,16.389963150024414,0,2,4.21217091986992,200
130,6.3188061118125916,2.1062824726104736,0,3,5.614024320104171,102
131,252.60189974308014,84.20063018798828,0,2,2.6062134334110145,200
