episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-423.99861282110214,-105.99966430664062,0,4,9.839504529092967,30
2,-1009.469384253025,-252.36688232421875,0,3,9.23566764688565,200
3,-457.3689039051533,-114.34223175048828,0,3,8.267293470858881,200
4,-460.9311687499285,-115.23273468017578,0,2,8.173231520586407,200
5,-1737.6009436920285,-434.4003601074219,0,2,10.303417967023936,200
6,-596.51332077384,-149.1283721923828,0,3,8.89981862973259,200
7,-87.4248965382576,-21.85624122619629,0,0,6.639984116715033,200
8,-723.5207014381886,-180.880126953125,0,2,10.01660818961415,200
9,-956.1268974244595,-239.03173828125,0,4,10.564561062232489,84
10,-480.28850719332695,-120.07218170166016,0,2,9.155972844347293,200
11,-1387.589260533452,-346.89727783203125,0,2,9.201403897801967,200
12,-34.92863771319389,-8.732145309448242,0,1,5.766784915220427,200
13,-634.9106675386429,-158.72776794433594,0,3,8.374698468422926,200
14,-612.1090260148048,-153.02757263183594,0,3,8.168107756070041,200
15,-608.7940991520882,-152.19815063476562,0,3,8.171362190193038,200
16,-2565.3888335824013,-641.3464965820312,0,3,5.986523782991698,200
17,-2532.978366881609,-633.2444458007812,0,3,6.028119399437857,200
18,35.396437644958496,8.849123001098633,0,4,5.603373767364462,72
19,82.14992386102676,20.537479400634766,0,4,5.004333015096803,88
20,-177.78933876752853,-44.4473991394043,0,3,6.015847116126066,200
21,-12.047602891921997,-3.011885643005371,0,4,5.334542042101894,64
22,35.47993588447571,8.869983673095703,0,4,5.544928843355709,86
23,9.018646836280823,2.2546558380126953,0,4,5.382330470975498,102
24,-445.61604031920433,-111.40394592285156,0,3,6.064096140212268,200
25,-298.45932161808014,-74.61474609375,0,4,6.719570222655035,152
26,-2540.3580553531647,-635.0895385742188,0,3,5.901771979546174,200
27,-91.14236348867416,-22.78559112548828,0,4,7.315168242628637,34
28,-114.10294592380524,-28.525741577148438,0,4,7.385616052317948,31
29,-150.77445137500763,-37.69359588623047,0,4,6.520101198685358,63
30,-133.26347970962524,-33.31586837768555,0,4,6.893292764768502,39
31,-303.72681209445,-75.93158721923828,0,4,5.9418081357585795,136
32,-643.1291681528091,-160.7823028564453,0,4,6.040554987173682,175
33,-233.1576944589615,-58.28941345214844,0,3,6.104419963039833,200
34,-405.7823736667633,-101.44548034667969,0,3,6.862567637716049,200
35,-380.1100904941559,-95.02751922607422,0,2,7.148657084568274,200
36,-249.57024133205414,-62.39262008666992,0,3,5.819118446331235,200
37,-339.4085258245468,-84.85224151611328,0,3,5.779425515842973,200
38,54.053509294986725,13.513374328613281,0,4,6.101531750008403,55
39,-228.25145596265793,-57.062904357910156,0,3,6.231513794553458,200
40,-268.14642280340195,-67.03660583496094,0,2,6.700029477154685,200
41,-270.65980833768845,-67.66496276855469,0,3,6.459931847790827,200
42,-230.41122716665268,-57.602821350097656,0,3,6.177150012120312,200
43,-201.77819097042084,-50.44456481933594,0,2,6.286643736837658,200
44,-214.17307823896408,-53.54325866699219,0,2,6.749475382274968,200
45,-304.5801434516907,-76.14495086669922,0,2,7.403134731083538,200
46,-117.94592356681824,-29.486446380615234,0,2,6.3645653537934015,200
47,-512.6974156796932,-128.17425537109375,0,4,8.207775002572365,133
48,-326.2906213402748,-81.57268524169922,0,3,6.688370282344814,200
49,-2936.5621569156647,-734.1393432617188,0,2,7.509892451747664,200
50,-148.90183928608894,-37.225486755371094,0,1,7.551435055914389,200
51,-714.8114581257105,-178.70291137695312,0,3,7.458518066628935,200
52,-259.0304124504328,-64.75764465332031,0,2,7.359936157530001,200
53,-199.32942371070385,-49.8323860168457,0,2,6.797007215163011,200
54,-261.76765835285187,-65.44189453125,0,1,7.337728988876808,200
55,-131.94585740566254,-32.986480712890625,0,2,6.388047363553888,200
56,-212.7127480134368,-53.178218841552734,0,2,6.613364747845832,200
57,-163.45346504822373,-40.86339569091797,0,2,6.425805531697035,200
58,-171.1085420101881,-42.777099609375,0,2,6.572774978679471,200
59,-418.0882673859596,-104.52210998535156,0,3,7.238028932257674,200
60,-900.0438136160374,-225.01072692871094,0,2,7.82738591106591,200
61,-622.564511358738,-155.64100646972656,0,3,7.05466672983103,200
62,-374.2277068346739,-93.55694580078125,0,4,6.700451394475493,70
63,-55.93175458908081,-13.982940673828125,0,4,6.2754687431667655,56
64,-379.9297618865967,-94.98241424560547,0,4,6.2925976722631285,65
65,-198.6538365483284,-49.66345977783203,0,4,6.740970856424146,65
66,-300.42840868234634,-75.10722351074219,0,3,6.344497841939586,200
67,101.43826562166214,25.359560012817383,0,4,5.6638845985083,63
68,-388.468485057354,-97.11720275878906,0,3,6.5343417969051885,200
69,109.34614670276642,27.3365421295166,0,4,5.691250028623564,56
70,-47.03306722640991,-11.75826644897461,0,4,5.901402154012608,62
71,-44.851663529872894,-11.212905883789062,0,4,5.875942527775712,64
72,-245.39461797475815,-61.348663330078125,0,4,5.477979006819141,77
73,-3087.4770234823227,-771.869384765625,0,3,6.814818011545664,200
74,38.07502245903015,9.518735885620117,0,4,5.9523642811270765,67
75,-93.12816321849823,-23.282026290893555,0,4,5.815168308656733,53
76,-2799.5096111297607,-699.8765869140625,0,3,6.547811766870231,200
77,-79.89729636907578,-19.97433090209961,0,4,6.052668493404977,83
78,-269.61269623041153,-67.40319061279297,0,3,6.4379166363746565,200
79,-2813.000345468521,-703.249755859375,0,3,6.693456960636443,200
80,54.458190739154816,13.614551544189453,0,4,5.752563018041254,73
81,69.19031649827957,17.297578811645508,0,4,5.802526764656452,66
82,-255.55322316288948,-63.8883056640625,0,4,5.759748943698351,73
83,-218.71813055872917,-54.67953872680664,0,4,5.744418677847618,74
84,-138.98361724615097,-34.745906829833984,0,4,5.887199742615021,68
85,44.384089946746826,11.096015930175781,0,4,5.63603315093803,100
86,94.33308255672455,23.583267211914062,0,4,5.540565274657883,73
87,122.74393916130066,30.685977935791016,0,4,5.32193157981682,84
88,4.044442102313042,1.0111074447631836,0,4,5.910560098770133,64
89,-89.26619219779968,-22.316532135009766,0,4,6.110397542945134,50
90,-447.8750284910202,-111.96876525878906,0,4,5.6044819197517235,75
91,-98.31384944915771,-24.578449249267578,0,4,6.078836704230708,49
92,-550.4139486551285,-137.603515625,0,2,7.402194762226394,200
93,-293.5784623026848,-73.39464569091797,0,3,7.227385872773915,200
94,-206.11973178386688,-51.529937744140625,0,2,7.19225853978067,200
95,101.66061639785767,25.4151554107666,0,4,5.4173017683503115,71
96,-400.07199561595917,-100.01800537109375,0,4,7.293158140969326,162
97,-268.0630102455616,-67.0157699584961,0,2,7.449020429061195,200
98,-271.4221707582474,-67.85551452636719,0,3,6.803296179352506,200
99,-153.58821484446526,-38.39707565307617,0,3,6.441936930277231,200
100,-543.4576822221279,-135.86436462402344,0,3,6.337991787644437,200
101,-166.43907937407494,-41.609779357910156,0,3,5.9755559255546675,200
102,-201.19648122787476,-50.299156188964844,0,3,6.10880859257764,200
103,-702.0789097547531,-175.51995849609375,0,3,6.558356648078252,200
104,-180.51407098770142,-45.128509521484375,0,3,6.048703892396124,200
105,-133.53696405887604,-33.384273529052734,0,3,5.854777540121573,200
106,-202.06992116570473,-50.51747131347656,0,4,6.732255357610459,147
107,35.06963491439819,8.767416000366211,0,4,5.643505960035051,84
108,-163.60636842250824,-40.901580810546875,0,3,6.130333969484474,200
109,-137.38107764720917,-34.34528350830078,0,3,5.953299796392011,200
110,90.61339527368546,22.653350830078125,0,4,5.719481344191903,56
111,-140.42392253875732,-35.106014251708984,0,3,6.05671057969458,200
112,111.97394984960556,27.993484497070312,0,4,5.57125979481947,58
113,112.53280091285706,28.133195877075195,0,4,5.57242070150223,58
114,-122.32154875993729,-30.58038330078125,0,3,5.899351809165095,200
115,68.43412816524506,17.108535766601562,0,4,5.682986421053423,69
116,-2121.947402238846,-530.4876708984375,0,2,6.090702251662492,200
117,-262.0423088669777,-65.51055145263672,0,3,6.672929081122234,200
118,-220.9538849592209,-55.23846435546875,0,3,6.89387576828989,200
119,115.57546091079712,28.893877029418945,0,4,5.539355085422478,56
120,-512.373918697238,-128.09349060058594,0,4,5.4365005985228825,136
121,-341.09175880253315,-85.2729263305664,0,3,7.09417233228748,200
122,-2539.648946046829,-634.9129028320312,0,3,6.938927294724448,200
123,-682.168244600296,-170.54200744628906,0,3,5.695869442909099,200
124,-207.5205018594861,-51.880130767822266,0,3,6.144609011466253,200
125,-1793.8240232467651,-448.455810546875,0,3,6.181802343382923,200
126,-2180.101850450039,-545.0257568359375,0,3,5.882239956560715,200
127,1.1873352825641632,0.29683780670166016,0,4,5.435650205850685,70
128,-193.0179207921028,-48.2545051574707,0,4,6.600211109823097,108
129,-32.696355044841766,-8.174098014831543,0,4,5.530370758547025,70
130,-67.56196105480194,-16.890506744384766,0,4,6.233986784245742,60
131,-1937.0473404675722,-484.26129150390625,0,3,5.8328136567247055,200
132,-148.41392892599106,-37.10348892211914,0,4,7.4567101681498045,34
133,-439.3836841583252,-109.84595489501953,0,3,6.233717355651518,200
134,-446.5921243429184,-111.64810180664062,0,3,4.988611863366917,200
135,-262.93680822849274,-65.73406982421875,0,4,6.859853440331127,127
136,-190.8664936721325,-47.71662902832031,0,3,5.829836209620227,200
137,-198.86069786548615,-49.715179443359375,0,3,5.839642543387054,200
138,-347.3664836883545,-86.84162902832031,0,4,5.606906272795442,68
139,-375.4103344678879,-93.85258483886719,0,4,5.515223304340042,71
140,-1467.2153804302216,-366.8041687011719,0,4,5.418753351910768,134
141,-105.12345850467682,-26.280855178833008,0,3,5.699755821883613,200
142,-11.574681222438812,-2.893669605255127,0,4,6.10571149366765,68
143,-211.14987301826477,-52.78752136230469,0,4,6.956234865355103,96
144,-213.51178097724915,-53.377986907958984,0,4,6.707125802102406,101
145,-356.5646285414696,-89.14125061035156,0,3,6.098828465922422,200
146,-134.88198733329773,-33.72047805786133,0,3,6.283347197383431,200
147,-58.38711726665497,-14.596799850463867,0,4,5.556377731970773,85
148,111.84925317764282,27.962312698364258,0,4,5.430892639373902,57
149,60.09031558036804,15.022570610046387,0,4,5.672015429493001,64
150,-967.1446098685265,-241.78611755371094,0,3,4.901917187267834,200
151,-2014.1080169081688,-503.52728271484375,0,3,5.476185892526688,200
152,-115.0229880809784,-28.755748748779297,0,3,5.797158062258814,200
153,81.21935534477234,20.304840087890625,0,4,5.497221410520183,77
154,13.004142224788666,3.2510392665863037,0,4,5.4738407949033725,112
155,-32.41893017292023,-8.104730606079102,0,3,5.278088107755284,200
156,-925.2572777271271,-231.31427001953125,0,4,5.702954971006285,79
157,-370.42446970939636,-92.60610961914062,0,4,5.548208357655266,66
158,-110.46895861625671,-27.617244720458984,0,4,5.634459692242009,55
159,115.15718924999237,28.789302825927734,0,4,5.438746470715263,56
