episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-3169.882110565901,-633.976806640625,0,4,8.844544048393507,200
2,-2653.485875427723,-530.6969604492188,0,4,8.398495476060273,200
3,-540.3962467908859,-108.0793685913086,0,3,8.031892783167853,200
4,-697.6008722782135,-139.5201873779297,0,3,8.429222093467349,200
5,-2986.403164744377,-597.2803955078125,0,4,9.784446152663921,200
6,-568.3289497196674,-113.666015625,0,2,9.451532774312152,200
7,-743.9594918489456,-148.79202270507812,0,5,8.373261006039016,167
8,-3366.9174102544785,-673.3825073242188,0,4,9.140991970924631,200
9,-708.1065770089626,-141.62142944335938,0,4,8.093194847700834,200
10,-2442.630078792572,-488.5260314941406,0,5,8.371127729190427,147
11,-547.4916779994965,-109.49818420410156,0,3,8.610522075988403,200
12,-1057.0070692896843,-211.40182495117188,0,3,8.131460224668553,200
13,-784.9523751139641,-156.99066162109375,0,3,8.52308720084957,200
14,-451.9553981423378,-90.39106750488281,0,2,7.10251559491175,200
15,-376.31044229865074,-75.261962890625,0,3,5.951140909280248,200
16,-718.2436903715134,-143.64865112304688,0,3,8.6705822376184,200
17,-694.4447354674339,-138.88912963867188,0,3,8.377745763594172,200
18,-853.6982428431511,-170.7398223876953,0,4,8.040323405160773,200
19,-803.1025786399841,-160.62037658691406,0,4,8.744894689959139,200
20,-691.7799125909805,-138.35604858398438,0,4,7.926926142335654,200
21,-682.8255532681942,-136.56539916992188,0,4,7.755226000667126,200
22,-2613.648362517357,-522.7294921875,0,4,6.248077906880079,200
23,-2645.5425740480423,-529.1082153320312,0,4,6.22588515142261,200
24,-3057.2813324928284,-611.45654296875,0,4,4.759901311833856,200
25,-352.6563224196434,-70.53134155273438,0,3,5.893972037451815,200
26,-3240.882275521755,-648.177001953125,0,4,6.967462144257999,200
27,-238.82478272914886,-47.764976501464844,0,5,5.970064829144879,70
28,-896.249746799469,-179.24989318847656,0,5,5.778109645435142,78
29,-858.3054223060608,-171.66104125976562,0,5,5.929643873656865,73
