episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-1344.1736015081406,-268.8347473144531,0,2,7.618414383010817,200
2,-2032.1470413953066,-406.42938232421875,0,0,6.6551972845024405,200
3,-1334.97423183918,-266.99481201171875,0,1,7.756639765731596,200
4,-1139.6713683009148,-227.93429565429688,0,1,7.35240941770287,200
5,-2727.7638062238693,-545.5526733398438,0,2,7.041473773985956,200
6,-2478.8991811573505,-495.77978515625,0,1,8.34824423405858,200
7,-1303.4439080357552,-260.68878173828125,0,3,7.4934432513182,200
8,-1387.3320680111647,-277.4664306640625,0,2,8.509217731516403,200
9,-1330.5191667675972,-266.1038513183594,1,2,5.668819318475572,200
10,-1084.5221481323242,-216.90444946289062,0,2,6.390408627281197,200
11,-1519.1565101146698,-303.831298828125,0,2,6.945663162113294,200
12,-4210.39261341095,-842.07861328125,0,3,6.267454253874663,200
13,-1944.1184657216072,-388.82373046875,0,2,7.922961145254581,200
14,-2956.788237452507,-591.3577270507812,0,3,6.059622289438828,200
15,-1074.8579032421112,-214.97152709960938,0,3,5.386010541270933,200
16,-764.6855912804604,-152.93710327148438,0,2,3.616324261399117,200
17,-186.623128592968,-37.324623107910156,0,5,6.596728377009855,68
18,-1279.3017159104347,-255.86032104492188,0,3,6.276964957807986,200
19,-423.58987045288086,-84.71798706054688,0,5,6.78259176139,63
20,-1309.0294674634933,-261.8059387207031,0,4,5.9989085995568585,200
21,-2583.7984150648117,-516.7596435546875,0,4,6.449765208189047,200
22,-1015.6322138309479,-203.12643432617188,0,2,6.656796531764546,200
23,-1133.0306678563356,-226.6061248779297,0,4,7.312267667796644,200
24,-748.7390480265021,-149.74783325195312,0,2,6.843284311090505,200
25,-551.497243642807,-110.2994613647461,1,2,4.946988135511836,200
26,-1026.582553729415,-205.3164825439453,0,3,5.227915757824045,200
27,-2730.2625287771225,-546.0528564453125,0,4,7.099024460806504,200
28,-1259.2746453285217,-251.8549346923828,0,4,6.789343857120089,200
29,-610.9783446788788,-122.1956787109375,0,3,5.268717130393858,200
30,-2048.1152869462967,-409.6229553222656,0,3,6.182917854840766,200
31,-1380.9642335176468,-276.1927795410156,1,2,6.676235131718632,200
32,-1890.492814898491,-378.09857177734375,0,2,8.161546717985651,200
