episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-383.45033913850784,-127.81685638427734,0,2,8.696666062758274,200
2,-968.0687597990036,-322.68963623046875,0,2,8.439720727023952,200
3,-358.8370862454176,-119.61236572265625,0,0,9.413004522395894,200
4,-454.02865804731846,-151.34283447265625,0,2,8.420802242603218,200
5,-469.0798696279526,-156.35997009277344,0,3,10.255012114710366,96
6,-319.01333747804165,-106.33777618408203,0,1,8.413254783089702,200
7,-399.66419848799706,-133.22129821777344,0,2,8.881690443086292,200
8,-383.8318523466587,-127.94397735595703,0,1,7.558559134264716,200
9,-342.8266340792179,-114.2755126953125,0,1,7.457127162783382,200
10,-337.85730561614037,-112.6191177368164,0,1,7.979312512579651,200
11,-689.8649231791496,-229.9549560546875,0,3,10.162540960367862,140
12,-482.10074746608734,-160.70022583007812,0,1,9.198044089853319,200
13,-200.87709790468216,-66.95899200439453,0,2,4.591761093091174,200
14,-314.12359423190355,-104.70785522460938,0,0,6.0562992794001245,200
15,-295.4073685258627,-98.4691162109375,0,3,8.734801688098818,42
16,-285.1174347102642,-95.0391616821289,0,3,8.66457050665142,53
17,-390.6678854227066,-130.22259521484375,0,2,7.696304169101747,200
18,-440.37793427705765,-146.79258728027344,0,2,7.704474500168736,200
19,-431.56806868314743,-143.85598754882812,0,2,7.784781227820175,200
20,-405.4584740996361,-135.1527862548828,0,1,7.8465329589742465,200
21,-362.16075733304024,-120.72027587890625,0,1,7.1511529104560365,200
22,-2983.8325325101614,-994.6107788085938,0,2,7.7782761656404205,200
23,-243.63288229703903,-81.2109375,0,3,8.847954826294503,26
24,-388.27729111909866,-129.42576599121094,0,1,8.154343086597981,200
25,-405.3937954157591,-135.1313018798828,0,2,7.744501445250701,200
26,-402.9780904650688,-134.3260040283203,0,2,7.865731634464169,200
27,-398.6754205226898,-132.89183044433594,0,2,7.823795938318831,200
28,-459.5855782032013,-153.19509887695312,0,2,8.288353534925006,200
29,-443.978647723794,-147.99281311035156,0,1,6.648828806157245,200
30,-379.90390396118164,-126.63458251953125,0,2,7.783393234188369,200
31,-372.5234032869339,-124.1744613647461,0,2,7.787965861215881,200
32,-50.88363075256348,-16.961210250854492,0,3,6.473474528161591,60
33,-389.5059103965759,-129.83517456054688,0,2,7.853649611850898,200
34,-335.93726612627506,-111.97915649414062,0,2,6.796553248466047,200
35,-3387.2135610580444,-1129.0697021484375,0,2,7.968973465122026,200
36,-155.48840400576591,-51.82954788208008,0,3,5.816853919082113,129
37,-242.28909718990326,-80.7630386352539,0,3,8.651796962484507,26
38,-1048.2741253376007,-349.4247131347656,0,3,7.247048747053813,63
39,-254.4126079082489,-84.80420684814453,0,3,8.92623924186779,24
40,-434.94650661945343,-144.98220825195312,0,3,7.091285057866126,60
41,-271.43356144428253,-90.47785186767578,0,3,9.154810621280758,24
42,-261.24434220790863,-87.0814437866211,0,3,9.02259530772514,24
43,-263.99027693271637,-87.99676513671875,0,3,9.049977609529707,25
44,-3262.545277237892,-1087.5164794921875,0,2,7.970510314158112,200
45,-282.5616337656975,-94.18724822998047,0,3,8.792947273519744,43
46,-268.55280327796936,-89.5176010131836,0,3,9.105393238028562,25
47,-349.18608343601227,-116.3954086303711,0,3,8.732761485028599,73
48,-286.7204791903496,-95.57354736328125,0,3,8.865436947856319,43
49,-262.30533707141876,-87.43509674072266,0,3,9.008002746798164,25
50,-265.860686480999,-88.6202163696289,0,3,9.094925990022068,24
51,-266.52663576602936,-88.84222412109375,0,3,9.088746162273882,25
52,-3259.5444886684418,-1086.5142822265625,0,2,7.971338581128113,200
53,-362.00575852394104,-120.6686782836914,0,2,7.715495181356758,200
54,-269.46777978539467,-89.82254791259766,0,2,6.6876239187239515,200
55,-91.54781985282898,-30.51594352722168,0,3,6.382015983169553,80
56,-383.0795647650957,-127.69336700439453,0,2,7.797957059427264,200
57,-370.32179334387183,-123.4404525756836,0,2,7.498824093696046,200
58,-353.3818784877658,-117.79400634765625,0,2,7.399482097467929,200
59,-349.09546586871147,-116.36532592773438,0,2,7.980432168199617,200
60,-295.4585375636816,-98.48615264892578,0,1,8.256016753043703,200
61,-335.1866859458387,-111.7289810180664,0,2,7.673781072339129,200
62,-395.2301872372627,-131.74366760253906,0,2,9.074036656577489,200
63,-359.6799183487892,-119.89321899414062,0,2,9.328365061988464,200
64,-245.30504113435745,-81.76834869384766,0,2,8.846589791150798,200
65,-319.07890594005585,-106.359619140625,0,2,8.41495711699262,200
66,-250.6318373978138,-83.5438461303711,0,2,7.344407159417482,200
67,-224.93571841716766,-74.97847747802734,0,2,7.917346716585747,200
68,-652.7704403325915,-217.59033203125,0,1,8.509189217344717,200
69,-294.25048381090164,-98.08356475830078,0,1,9.003921766019978,200
70,-227.10762643814087,-75.70255279541016,0,3,7.019972048014637,145
71,-377.483948469162,-125.82772827148438,0,2,7.844811772493706,200
72,-123.72517596185207,-41.2417106628418,0,0,9.259002284658145,200
73,-57.58370438218117,-19.19456672668457,0,3,7.345673376627706,60
74,-73.76585802435875,-24.588623046875,0,3,7.458467556831898,56
75,-31.03125637769699,-10.343738555908203,0,1,7.938293036091179,200
76,-660.0722595453262,-220.02392578125,0,3,6.920749038541789,153
77,-167.7599597349763,-55.91998291015625,0,3,6.923367888619943,116
78,-1541.3277364075184,-513.7763061523438,0,2,8.771763447530718,200
79,-49.114098250865936,-16.371362686157227,0,3,6.963154804729828,105
80,-52.84353633224964,-17.61451530456543,0,0,8.778761434130587,200
81,-152.8656224310398,-50.955230712890625,0,3,6.742495290835907,100
82,-119.63989421725273,-39.87995529174805,0,3,6.068462001078984,105
83,-106.93526616692543,-35.645084381103516,0,3,6.736818383028872,57
84,-339.33763122558594,-113.1125259399414,0,1,8.37887256941918,200
85,-111.50759327411652,-37.16920471191406,0,3,6.5114306267377815,74
86,-112.54892632365227,-37.516292572021484,0,3,6.499435016915761,75
87,-81.7348622083664,-27.244943618774414,0,3,6.27005989011682,78
88,-117.30662271380424,-39.10222244262695,0,3,6.351491119898626,83
89,-109.90888494253159,-36.63629150390625,0,3,6.319741822354096,76
90,-130.25977963209152,-43.419925689697266,0,3,6.849528566991284,62
91,-116.02861589193344,-38.676212310791016,0,3,6.244931556580807,99
92,-30.639141514897346,-10.213048934936523,0,3,6.472281554167981,82
93,-148.4401567876339,-49.47993087768555,0,2,5.856671421515297,200
94,-72.92176446318626,-24.307214736938477,0,2,4.989397734584766,200
95,-96.81607821583748,-32.27201843261719,0,3,6.838533155456208,78
96,-75.05254143476486,-25.01750373840332,0,2,4.824052281238366,200
97,-54.825560957193375,-18.275121688842773,0,2,5.110033902941446,200
98,-190.97032949328423,-63.65678787231445,0,3,6.994853536640645,192
99,-132.40883874893188,-44.13630294799805,0,1,6.21274694191606,200
100,-65.2964917421341,-21.76548194885254,0,3,5.997971299938043,105
