Episode 50/2000, Total Reward: -1380.0
Episode 100/2000, Total Reward: -939.4
Episode 150/2000, Total Reward: -977.7
Episode 200/2000, Total Reward: -360.1
Episode 250/2000, Total Reward: -316.5
Episode 300/2000, Total Reward: -370.7
Episode 350/2000, Total Reward: -789.0
Episode 400/2000, Total Reward: -2.4
Episode 450/2000, Total Reward: 31.1
Episode 500/2000, Total Reward: -1035.7
Episode 550/2000, Total Reward: -100.9
Episode 600/2000, Total Reward: 90.0
Episode 650/2000, Total Reward: -57.2
Episode 700/2000, Total Reward: 122.9
Episode 750/2000, Total Reward: 134.8
Episode 800/2000, Total Reward: -238.1
Episode 850/2000, Total Reward: 135.1
Episode 900/2000, Total Reward: 129.7
Episode 950/2000, Total Reward: -699.9
Episode 1000/2000, Total Reward: 82.7
Episode 1050/2000, Total Reward: 93.2
Episode 1100/2000, Total Reward: -74.7
Episode 1150/2000, Total Reward: -139.8
Episode 1200/2000, Total Reward: -1870.6
Episode 1250/2000, Total Reward: 145.6
Episode 1300/2000, Total Reward: 139.5
Episode 1350/2000, Total Reward: 126.6
Episode 1400/2000, Total Reward: 131.7
Episode 1450/2000, Total Reward: -102.7
Episode 1500/2000, Total Reward: 117.3
Episode 1550/2000, Total Reward: 115.2
Episode 1600/2000, Total Reward: 164.0
Episode 1650/2000, Total Reward: -60.9
Episode 1700/2000, Total Reward: -31.4
Episode 1750/2000, Total Reward: 147.2
Episode 1800/2000, Total Reward: -99.8
Episode 1850/2000, Total Reward: 142.3
Episode 1900/2000, Total Reward: 128.3
Episode 1950/2000, Total Reward: -118.3
Episode 2000/2000, Total Reward: 43.5
