episode,total_reward,mean_agent_reward,finished,crashed,avg_dist,length
1,-344.7839809060097,-114.92800903320312,1,0,7.0653418982341725,200
2,-735.080659404397,-245.0269012451172,0,1,7.785700282358057,200
3,-668.4182285405695,-222.80604553222656,0,1,8.344484355924044,200
4,-584.6922688484192,-194.89744567871094,0,0,7.077258085321053,200
5,-901.3709800541401,-300.45697021484375,0,0,7.917664918082053,200
6,-598.0098728090525,-199.33665466308594,0,0,7.086406598472891,200
7,-302.4639270398766,-100.82129669189453,0,0,8.39417516055904,200
8,-1015.7936300635338,-338.5978698730469,0,1,8.068484086893191,200
9,-649.1983872056007,-216.3994598388672,0,1,7.422447456653192,200
10,-791.0681226849556,-263.6894226074219,0,0,8.912547806431704,200
11,-592.186632592231,-197.39552307128906,0,0,5.254680754085228,200
12,-816.2226053476334,-272.0741882324219,0,0,5.338576157064406,200
13,-860.9964873790741,-286.9988708496094,0,1,2.6655744095445484,200
14,-667.1216214895248,-222.3738555908203,0,2,5.128319016331979,200
15,-605.4795640707016,-201.82652282714844,0,2,3.8236967999317115,200
16,-856.985476732254,-285.66180419921875,0,1,4.554182317697158,200
17,-367.07840687036514,-122.35950469970703,1,0,3.9142593805103654,200
18,-244.8516824245453,-81.61722564697266,0,2,3.378365688736878,200
19,22.443901866674423,7.481303691864014,0,3,4.636434597778988,72
20,-554.6616725921631,-184.88714599609375,0,2,3.982304475773296,200
21,-320.8693107366562,-106.95639038085938,0,2,4.779575744128846,200
22,-21.730542302131653,-7.243522644042969,0,3,4.85778590667649,75
23,-37.250418186187744,-12.4168062210083,0,3,5.302387866395388,67
24,-144.2004965543747,-48.06683349609375,0,3,5.268303145323007,71
25,34.20966386795044,11.403227806091309,0,3,5.180748161844051,73
26,-368.07468938827515,-122.69155883789062,0,1,6.192250907292479,200
27,-1412.0926195383072,-470.6974182128906,0,1,7.574410491750008,200
28,12.473058670759201,4.15769624710083,0,0,6.609046615293223,200
29,-151.42264223098755,-50.47422409057617,0,0,7.110571609142763,200
30,-679.197302043438,-226.39910888671875,0,2,5.503479765920358,200
31,-509.0438843369484,-169.6812744140625,0,2,4.901221724545223,200
32,-407.93573558330536,-135.97860717773438,0,2,4.509464431965205,200
33,75.24429261684418,25.081445693969727,0,3,5.084707500497487,74
34,-437.6484879255295,-145.8829345703125,0,2,3.9659889898678578,200
35,-121.41867098212242,-40.472896575927734,0,0,5.023711130047446,200
36,-242.3449113368988,-80.78162384033203,0,0,3.4682503918239687,200
37,-96.07888233661652,-32.02631378173828,0,2,2.80282590846588,200
38,44.441797852516174,14.813935279846191,0,3,4.223436822739476,71
39,-437.08741068840027,-145.69577026367188,0,1,2.607532955773061,200
40,-658.6522550582886,-219.55072021484375,0,1,2.564907086792441,200
41,-1043.8277728557587,-347.9425048828125,0,2,3.114247171957299,200
42,-761.3632643222809,-253.78758239746094,0,2,3.6028791686944124,200
43,-294.8059207201004,-98.26860809326172,0,2,3.687265472684983,200
44,175.4727156162262,58.49090576171875,0,3,4.046675708938025,70
45,87.02792608737946,29.009294509887695,0,3,4.37502013190121,69
46,15.883894681930542,5.294628143310547,0,3,4.210457803299218,75
47,191.45214354991913,63.81742858886719,0,3,3.2703295431064396,106
48,-563.0144399404526,-187.6715087890625,0,3,4.265539526691328,70
49,-191.72191132605076,-63.90729904174805,0,2,4.165999810331482,200
50,279.7530508041382,93.25101470947266,0,3,3.175255765567142,92
51,373.6304683163762,124.54345703125,0,2,2.8880200404543843,200
52,74.02801084518433,24.67600440979004,0,3,3.5261198801454925,80
53,-432.9777162671089,-144.32591247558594,0,2,5.146981890659174,200
54,-35.25233191251755,-11.750767707824707,0,3,4.130294348282571,95
55,-133.68245136737823,-44.560821533203125,0,3,4.094261889582058,112
56,-167.7510632276535,-55.9170036315918,0,3,4.1954476144046415,119
57,-362.7432534098625,-120.91442108154297,0,3,4.2401733577575085,129
58,-196.64575642347336,-65.54859161376953,0,3,4.052551076699831,132
59,-164.83522200584412,-54.9450798034668,0,3,4.227453660534987,113
60,179.36951637268066,59.789859771728516,0,3,3.448834867639729,83
61,158.53847920894623,52.8462028503418,0,3,3.4244944736010794,107
